pkt_len_max,pkt_len_std,pkt_len_p50,pkt_len_p75,payload_median,iat_std,iat_p75_minus_p50,iat_p95_minus_p50,iat_cov_std_mean,iat_median,granularity,label
58454,8213.19694,1151.5,7354.0,1097.5,0.33593,0.00132,0.00885,8.51944,0.00019,150,Netflix
64294,16606.94131,1503.0,20494.0,1449.0,0.00323,0.00115,0.00923,1.74708,0.00029,150,Netflix
64294,14833.57014,1334.0,19034.0,1280.0,3.83465,0.00123,0.00806,9.6903,0.0003,150,Netflix
64294,12281.1186,1514.0,20494.0,1460.0,0.00519,0.00091,0.00355,3.6333,0.00025,150,Netflix
64294,19472.04551,983.5,20494.0,929.5,0.3344,0.00102,0.0098,9.02224,0.00023,150,Netflix
64294,19024.38447,668.5,26334.0,614.5,0.10468,0.00188,0.0066,10.40096,0.00019,150,Netflix
64294,18842.76179,1151.0,27794.0,1097.0,0.37518,0.00101,0.00714,8.47654,0.0003,150,Netflix
64294,15500.03755,1147.0,21954.0,1093.0,0.37772,0.0013,0.01059,8.20475,0.00022,150,Netflix
55534,10428.59496,1514.0,16114.0,1460.0,0.00091,0.00086,0.00275,1.24356,0.00016,150,Netflix
64294,14182.52905,848.5,17574.0,794.5,0.33748,0.00102,0.00385,9.97269,0.0002,150,Netflix
64294,19491.55273,1160.5,26334.0,1106.5,1.07057,0.0009,0.0116,9.52115,0.00029,150,Netflix
64294,19624.33404,1514.0,19034.0,1460.0,0.5511,0.00164,0.01571,7.80022,0.00036,150,Netflix
64294,18162.25178,1339.5,20129.0,1285.5,1.48536,0.00223,0.01522,9.80287,0.00043,150,Netflix
64294,16601.31663,1159.0,20129.0,1105.0,0.32972,0.00128,0.01498,9.39029,0.00023,150,Netflix
64294,14736.03048,546.5,23414.0,492.5,0.27965,0.00094,0.0034,9.93893,0.00026,150,Netflix
64294,19038.6254,848.0,27429.0,794.0,0.32898,0.00123,0.00433,7.29057,0.0003,150,Netflix
64294,17133.69708,944.0,24144.0,890.0,1.68175,0.00175,0.01439,9.85046,0.00031,150,Netflix
64294,18253.104,585.5,26334.0,531.5,0.14521,0.00164,0.00541,10.91923,0.0002,150,Netflix
64294,19816.25811,1147.0,24874.0,1093.0,1.08405,0.00097,0.01424,9.35479,0.00027,150,Netflix
64294,17913.26029,1514.0,24874.0,1460.0,0.30179,0.00109,0.00477,11.54036,0.00028,150,Netflix
64294,20787.13335,720.0,26334.0,666.0,0.9732,0.00231,0.02617,8.936,0.00048,150,Netflix
64294,20736.5429,1002.5,26334.0,948.5,3.70439,0.00184,0.01936,9.58696,0.00047,150,Netflix
64294,23874.991,1146.0,42029.0,1092.0,0.56925,0.00172,0.01893,5.45393,0.00031,150,Netflix
64294,19776.65715,524.0,36189.0,470.0,0.22942,0.00085,0.00392,9.84282,0.00024,150,Netflix
64294,18567.30588,613.5,20494.0,559.5,0.2092,0.00087,0.01548,6.07467,0.00022,150,Netflix
48234,9290.03306,850.5,2974.0,796.5,0.16242,0.00082,0.00399,11.39426,0.00018,150,Netflix
64294,15793.07883,1152.5,24874.0,1098.5,0.15706,0.00123,0.00714,8.38833,0.00021,150,Netflix
64294,18557.12362,891.0,26334.0,837.0,0.37293,0.00107,0.01103,8.29428,0.00025,150,Netflix
64294,19503.44282,1041.5,27429.0,987.5,0.35933,0.0007,0.01525,8.29089,0.00028,150,Netflix
64294,18290.36638,1157.0,27429.0,1103.0,2.59144,0.00128,0.00874,11.27244,0.00049,150,Netflix
64294,18473.42058,1149.0,26334.0,1095.0,0.46779,0.00179,0.01239,7.17746,0.00027,150,Netflix
64294,19353.79848,847.5,27794.0,793.5,0.98515,0.0011,0.01704,7.81023,0.00038,150,Netflix
64294,17718.83795,1400.5,15749.0,1346.5,0.60986,0.00109,0.01129,10.05488,0.00024,150,Netflix
64294,16794.43363,546.0,23414.0,492.0,0.36646,0.00137,0.01255,7.65518,0.0003,150,Netflix
64294,20603.69918,1138.0,24874.0,1084.0,3.83327,0.00105,0.01685,8.8934,0.00031,150,Netflix
64294,19136.30595,1152.5,24874.0,1098.5,1.1257,0.0019,0.02676,8.05223,0.00049,150,Netflix
64294,8452.62196,90.0,4434.0,0.0,0.00264,0.00148,0.00382,2.12774,0.00016,150,Netflix
64294,17346.58991,1154.0,10274.0,1100.0,1.35787,0.00254,0.01563,7.16286,0.0005,150,Netflix
24874,5246.43782,1514.0,5894.0,1460.0,0.00225,0.00181,0.00475,1.60873,0.00023,150,Netflix
21954,5005.41151,1514.0,4434.0,1460.0,0.00694,0.00196,0.00514,3.33689,0.00028,150,Netflix
39474,7511.51126,863.0,7354.0,809.0,0.36927,0.00244,0.01496,8.28028,0.0003,150,Netflix
56994,11896.48118,1335.0,16114.0,1281.0,0.01046,0.00274,0.00989,3.51122,0.00038,150,Netflix
58454,13054.75147,1514.0,19034.0,1460.0,0.00255,0.00151,0.00695,1.60621,0.00037,150,Netflix
64294,17488.75409,599.0,18669.0,545.0,0.37799,0.00149,0.01491,6.63124,0.00031,150,Netflix
59914,14464.06444,1473.5,21954.0,1419.5,0.00137,0.00252,0.00301,1.19385,0.00017,150,Netflix
64294,17419.55486,566.0,26334.0,512.0,0.40162,0.0011,0.0156,7.14746,0.0003,150,Netflix
42394,8190.08344,1514.0,4434.0,1460.0,1.96897,0.00367,0.01428,11.90223,0.00037,150,Netflix
52614,11148.77503,985.5,20494.0,931.5,0.16833,0.0018,0.01195,9.97588,0.00034,150,Netflix
64294,14829.44251,433.5,18669.0,379.5,0.21926,0.00228,0.00927,11.08492,0.00023,150,Netflix
64294,16629.34185,1005.0,20494.0,951.0,0.44165,0.00214,0.01475,7.77973,0.00033,150,Netflix
64294,15183.06582,1514.0,21954.0,1460.0,0.00179,0.00144,0.00483,1.47818,0.00028,150,Netflix
64294,19665.38693,546.0,21954.0,492.0,0.44846,0.00114,0.01684,6.2583,0.00041,150,Netflix
45314,11597.107,83.5,23414.0,29.5,0.00135,0.0008,0.00386,1.52433,0.00025,150,Netflix
64294,19400.56795,363.0,24874.0,309.0,3.8792,0.00106,0.01744,8.58558,0.00019,150,Netflix
64294,15413.21282,546.0,21954.0,492.0,0.2416,0.00075,0.008,6.92399,0.00035,150,Netflix
64294,21305.75641,671.5,26334.0,617.5,0.42405,0.00131,0.00969,7.87584,0.00032,150,Netflix
64294,20753.37946,565.5,29254.0,511.5,1.81977,0.00139,0.01526,6.55192,0.00047,150,Netflix
64294,19271.98492,1149.5,27794.0,1095.5,0.53862,0.00093,0.00935,8.80789,0.00033,150,Netflix
58454,15358.43453,546.0,12829.0,492.0,0.61277,0.00222,0.01885,7.30095,0.00036,150,Netflix
52614,12895.11605,1145.0,18669.0,1091.0,0.40301,0.00144,0.01178,8.18918,0.00027,150,Netflix
58454,13081.2956,1514.0,14654.0,1460.0,0.0605,0.00097,0.00867,8.95082,0.00021,150,Netflix
64294,16330.74024,1333.0,26334.0,1279.0,0.00193,0.00086,0.00482,1.70141,0.00034,150,Netflix
64294,18179.35323,973.5,27794.0,919.5,0.10443,0.00186,0.01387,9.86838,0.00018,150,Netflix
