fwd_pkt_count,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_len_p50,fwd_pkt_len_p75,fwd_pkt_len_max,fwd_payload_median,fwd_iat_mean,fwd_iat_std,fwd_iat_median,fwd_iat_cov,bwd_pkt_count,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_len_p50,bwd_pkt_len_p75,bwd_pkt_len_max,bwd_payload_median,bwd_iat_mean,bwd_iat_std,bwd_iat_median,bwd_iat_cov,bytes_ratio_fwd,pkt_ratio_fwd,tcp_syn_ratio,tcp_ack_ratio,tcp_fin_ratio,tcp_rst_ratio,tcp_psh_ratio,tcp_urg_ratio,tcp_retrans_ratio,burst_count,mean_burst_gap,actual_packets_in_flow,agg_mode,agg_value,label
24,6388.91667,10227.90672,1172.5,7719.0,42394.0,1118.5,0.41777,0.96101,0.00308,2.30035,26.0,353.57692,485.25784,66.0,881.25,1153.0,0.0,0.3837,0.73711,0.06538,1.92105,0.94344,0.48,0.0,1.0,0.04,0.0,0.34,0.0,0.68,12,0.8453,50,packet,50,Netflix
25,19501.2,14321.22328,16114.0,26334.0,55534.0,16060.0,0.00828,0.01935,0.00123,2.33782,25.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00827,0.01933,0.00125,2.33775,0.99724,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,50,packet,50,Netflix
26,11509.38462,7572.23736,8814.0,17574.0,29254.0,8760.0,0.00132,0.00055,0.00118,0.41847,24.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00141,0.00065,0.00121,0.46496,0.99569,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.46,1,0.0,50,packet,50,Netflix
26,6511.69231,2868.247,7354.0,7354.0,16114.0,7300.0,0.00188,0.00113,0.00151,0.60066,24.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00197,0.0012,0.00222,0.60729,0.9924,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.46,1,0.0,50,packet,50,Netflix
25,54.0,0.0,54.0,54.0,54.0,0.0,0.00474,0.0034,0.00524,0.71653,25.0,17165.2,15017.54609,14654.0,19034.0,55534.0,14600.0,0.00494,0.00363,0.00519,0.73495,0.00314,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,50,packet,50,Netflix
25,97.96,215.35914,54.0,54.0,1153.0,0.0,0.00573,0.00993,0.00206,1.73214,25.0,13414.52,11021.85897,13194.0,16114.0,45314.0,13140.0,0.00565,0.00954,0.00207,1.68911,0.00725,0.5,0.0,1.0,0.0,0.0,0.06,0.0,0.46,1,0.0,50,packet,50,Netflix
25,54.0,0.0,54.0,54.0,54.0,0.0,0.00153,0.00078,0.00125,0.5118,25.0,7646.0,5091.19397,7354.0,13194.0,14654.0,7300.0,0.00139,0.00069,0.0011,0.49484,0.00701,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,50,packet,50,Netflix
25,12423.4,10944.67093,13194.0,14654.0,46774.0,13140.0,0.003,0.00387,0.00199,1.29145,25.0,97.92,215.16318,54.0,54.0,1152.0,0.0,0.003,0.00303,0.00207,1.01209,0.99218,0.5,0.0,1.0,0.0,0.0,0.06,0.0,0.46,1,0.0,50,packet,50,Netflix
26,15221.03846,8962.67246,16844.0,21954.0,38014.0,16790.0,0.00331,0.0036,0.00237,1.08776,24.0,99.875,220.00877,54.0,54.0,1155.0,0.0,0.00337,0.00291,0.00283,0.86128,0.99398,0.52,0.0,1.0,0.0,0.0,0.06,0.0,0.44,1,0.0,50,packet,50,Netflix
25,97.96,215.35914,54.0,54.0,1153.0,0.0,0.0045,0.0079,0.00236,1.75418,25.0,14117.56,8354.86749,13194.0,20494.0,32174.0,13140.0,0.00446,0.00612,0.00231,1.37419,0.00689,0.5,0.0,1.0,0.0,0.0,0.06,0.0,0.46,1,0.0,50,packet,50,Netflix
25,15822.0,9334.87054,11734.0,26334.0,29254.0,11680.0,0.00311,0.00356,0.00225,1.14657,25.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00311,0.0036,0.00226,1.15927,0.9966,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,50,packet,50,Netflix
26,14601.0,12962.45633,12464.0,16114.0,43854.0,12410.0,0.00243,0.00385,0.00135,1.58436,24.0,99.79167,219.60912,54.0,54.0,1153.0,0.0,0.00264,0.00306,0.00164,1.1605,0.99373,0.52,0.0,1.0,0.0,0.0,0.06,0.0,0.44,1,0.0,50,packet,50,Netflix
25,15530.0,7317.49903,17574.0,20494.0,29254.0,17520.0,0.0016,0.00085,0.00126,0.53102,25.0,54.0,0.0,54.0,54.0,54.0,0.0,0.0016,0.00085,0.00125,0.53262,0.99653,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,50,packet,50,Netflix
26,17893.92308,13018.58568,16114.0,18669.0,58454.0,16060.0,0.00249,0.00397,0.00147,1.59657,24.0,99.58333,218.60999,54.0,54.0,1148.0,0.0,0.00264,0.00317,0.00171,1.20114,0.99489,0.52,0.0,1.0,0.0,0.0,0.06,0.0,0.44,1,0.0,50,packet,50,Netflix
24,99.79167,219.60912,54.0,54.0,1153.0,0.0,0.00853,0.01633,0.00159,1.9142,26.0,28149.96154,21229.56816,19034.0,40569.0,64294.0,18980.0,0.00764,0.016,0.00141,2.09414,0.00326,0.48,0.0,1.0,0.0,0.0,0.08,0.0,0.44,1,0.0,50,packet,50,Netflix
24,54.0,0.0,54.0,54.0,54.0,0.0,0.00559,0.01027,0.00143,1.83805,26.0,21636.03846,10913.44171,19764.0,29984.0,48234.0,19710.0,0.00508,0.00905,0.00194,1.78156,0.0023,0.48,0.0,1.0,0.0,0.0,0.02,0.0,0.44,1,0.0,50,packet,50,Netflix
27,21606.96296,17699.03587,19034.0,29254.0,64294.0,18980.0,0.01376,0.01719,0.00226,1.24885,23.0,149.34783,308.96315,54.0,54.0,1153.0,0.0,0.01551,0.02404,0.00221,1.54973,0.99415,0.54,0.0,1.0,0.0,0.0,0.1,0.0,0.42,1,0.0,50,packet,50,Netflix
