fwd_pkt_count,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_len_p50,fwd_pkt_len_p75,fwd_pkt_len_max,fwd_payload_median,fwd_iat_mean,fwd_iat_std,fwd_iat_median,fwd_iat_cov,bwd_pkt_count,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_len_p50,bwd_pkt_len_p75,bwd_pkt_len_max,bwd_payload_median,bwd_iat_mean,bwd_iat_std,bwd_iat_median,bwd_iat_cov,bytes_ratio_fwd,pkt_ratio_fwd,tcp_syn_ratio,tcp_ack_ratio,tcp_fin_ratio,tcp_rst_ratio,tcp_psh_ratio,tcp_urg_ratio,tcp_retrans_ratio,burst_count,mean_burst_gap,udp_ratio,actual_packets_in_flow,agg_mode,agg_value,label
13,54.0,0.0,54.0,54.0,54.0,0.0,0.00119,0.00033,0.00117,0.27426,12.0,9179.0,2159.36912,10274.0,10274.0,10274.0,10220.0,0.00121,0.00033,0.00119,0.27387,0.00633,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,0.0,25,packet,25,Netflix
13,9150.92308,3761.88861,10274.0,10274.0,19034.0,10220.0,0.00136,0.00066,0.00126,0.48447,12.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00123,0.00052,0.00126,0.42088,0.99458,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
13,54.0,0.0,54.0,54.0,54.0,0.0,0.00244,0.00233,0.00158,0.95799,12.0,18182.33333,17371.93802,9544.0,20129.0,64294.0,9490.0,0.00257,0.00231,0.00163,0.89935,0.00321,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,0.0,25,packet,25,Netflix
13,23975.53846,15583.67876,21954.0,30714.0,58454.0,21900.0,0.00312,0.0028,0.00247,0.89604,12.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00335,0.0029,0.00262,0.8656,0.99793,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
13,54.0,0.0,54.0,54.0,54.0,0.0,0.00517,0.00393,0.00481,0.76079,12.0,29497.33333,17789.98001,26334.0,37284.0,64294.0,26280.0,0.00469,0.00372,0.00414,0.79236,0.00198,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,0.0,25,packet,25,Netflix
14,23518.28571,18871.10441,15384.0,31444.0,64294.0,15330.0,0.0081,0.01935,0.00128,2.38981,11.0,54.0,0.0,54.0,54.0,54.0,0.0,0.0099,0.0222,0.00209,2.24305,0.9982,0.56,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1,0.0,0.0,25,packet,25,Netflix
13,137.76923,290.18513,54.0,54.0,1143.0,0.0,0.00538,0.00766,0.00233,1.42249,12.0,15660.25,11094.73582,14654.0,28159.0,29254.0,14600.0,0.00321,0.00388,0.00113,1.20932,0.00944,0.52,0.0,1.0,0.0,0.0,0.08,0.0,0.48,1,0.0,0.0,25,packet,25,Netflix
13,22665.69231,15708.58826,26334.0,30714.0,58454.0,26280.0,0.00308,0.00303,0.0021,0.98638,12.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00299,0.00327,0.0018,1.09324,0.99781,0.52,0.0,1.0,0.0,0.0,0.04,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
13,21515.76923,12131.61155,27794.0,29254.0,43854.0,27740.0,0.0043,0.00779,0.00161,1.81396,12.0,144.83333,301.26009,54.0,54.0,1144.0,0.0,0.00454,0.00556,0.00158,1.22502,0.99382,0.52,0.0,1.0,0.0,0.0,0.12,0.0,0.4,1,0.0,0.0,25,packet,25,Netflix
13,138.0,290.98454,54.0,54.0,1146.0,0.0,0.00457,0.0057,0.00222,1.2484,12.0,17555.16667,17525.49907,13924.0,25604.0,58454.0,13870.0,0.0043,0.00917,0.0014,2.13141,0.00844,0.52,0.0,1.0,0.0,0.0,0.12,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
13,1227.0,2356.17258,287.0,817.0,8791.0,233.0,4.46702,9.75211,0.06903,2.18313,12.0,89.91667,22.98354,104.5,108.25,110.0,46.5,4.87365,10.13239,0.01132,2.07902,0.93664,0.52,0.0,1.0,0.0,0.0,0.64,0.0,0.36,5,13.30972,0.0,25,packet,25,Netflix
14,23319.92857,19848.56154,22684.0,30349.0,64294.0,22630.0,0.03585,0.11339,0.00117,3.16245,11.0,153.36364,314.21541,54.0,54.0,1147.0,0.0,0.04299,0.12328,0.00159,2.86798,0.99486,0.56,0.0,1.0,0.0,0.0,0.12,0.0,0.4,2,0.41279,0.0,25,packet,25,Netflix
13,138.23077,291.78394,54.0,54.0,1149.0,0.0,0.01148,0.01612,0.00674,1.4035,12.0,26869.58333,25358.19029,20494.0,55169.0,64294.0,20440.0,0.01173,0.01594,0.00557,1.35926,0.00554,0.52,0.0,1.0,0.0,0.0,0.12,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
12,25655.58333,24935.40711,16844.0,52979.0,64294.0,16790.0,0.00302,0.00457,0.0,1.51402,13.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00275,0.0044,0.00015,1.59903,0.99772,0.48,0.0,1.0,0.0,0.0,0.04,0.0,0.48,1,0.0,0.0,25,packet,25,Netflix
13,22948.30769,12419.89272,26334.0,32174.0,39474.0,26280.0,0.00633,0.01252,0.0029,1.97634,12.0,144.83333,301.26009,54.0,54.0,1144.0,0.0,0.0065,0.00875,0.00304,1.34628,0.99421,0.52,0.0,1.0,0.0,0.0,0.12,0.0,0.4,1,0.0,0.0,25,packet,25,Netflix
11,252.72727,421.56421,54.0,54.0,1147.0,0.0,0.00866,0.00998,0.00238,1.15308,14.0,31221.92857,26187.16165,29984.0,58454.0,64294.0,29930.0,0.00576,0.00643,0.00242,1.11575,0.00632,0.44,0.0,1.0,0.0,0.0,0.2,0.0,0.32,1,0.0,0.0,25,packet,25,Netflix
12,29840.5,21022.2886,29254.0,47139.0,64294.0,29200.0,0.00381,0.00294,0.00281,0.77091,13.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00346,0.00308,0.00227,0.88923,0.99804,0.48,0.0,1.0,0.0,0.0,0.04,0.0,0.48,1,0.0,0.0,25,packet,25,Netflix
13,24910.15385,19792.42199,26334.0,32174.0,58454.0,26280.0,0.02663,0.03341,0.00697,1.25455,12.0,144.83333,301.26009,54.0,54.0,1144.0,0.0,0.03077,0.03283,0.01906,1.06702,0.99466,0.52,0.0,1.0,0.0,0.0,0.12,0.0,0.48,1,0.0,0.0,25,packet,25,Netflix
13,138.0,290.98454,54.0,54.0,1146.0,0.0,0.02666,0.07113,0.0016,2.66846,12.0,25857.41667,23995.45902,12464.0,54074.0,64294.0,12410.0,0.02997,0.08014,0.00221,2.67419,0.00575,0.52,0.0,1.0,0.0,0.0,0.12,0.0,0.44,2,0.26138,0.0,25,packet,25,Netflix
13,139.15385,291.53489,54.0,54.0,1149.0,0.0,0.01862,0.0412,0.00216,2.21315,12.0,35721.5,23180.64601,40204.0,54439.0,64294.0,40150.0,0.01956,0.04996,0.00111,2.55407,0.0042,0.52,0.0,1.0,0.0,0.0,0.12,0.0,0.44,2,0.15274,0.0,25,packet,25,Netflix
13,26085.76923,23990.70222,24874.0,49694.0,64294.0,24820.0,0.00682,0.00827,0.0015,1.21121,12.0,132.83333,261.46059,54.0,54.0,1000.0,0.0,0.00736,0.00976,0.00204,1.327,0.99532,0.52,0.0,1.0,0.0,0.0,0.16,0.0,0.4,1,0.0,0.0,25,packet,25,Netflix
12,144.83333,301.26009,54.0,54.0,1144.0,0.0,0.00457,0.00499,0.00212,1.09211,13.0,19943.46154,14966.58417,24874.0,30714.0,52614.0,24820.0,0.00418,0.00751,0.00171,1.79548,0.00666,0.48,0.0,1.0,0.0,0.0,0.12,0.0,0.4,1,0.0,0.0,25,packet,25,Netflix
12,145.16667,302.36563,54.0,54.0,1148.0,0.0,0.00365,0.00358,0.00203,0.97974,13.0,22565.92308,15856.47207,21954.0,36554.0,48234.0,21900.0,0.00433,0.00666,0.00119,1.53748,0.0059,0.48,0.0,1.0,0.0,0.0,0.12,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
12,329.91667,637.27891,54.0,79.0,2196.0,0.0,0.04898,0.04946,0.02363,1.00971,13.0,16982.84615,17937.98903,14654.0,29254.0,58454.0,14600.0,0.04369,0.0601,0.0191,1.37561,0.01762,0.48,0.08,0.96,0.0,0.0,0.2,0.0,0.36,2,0.14999,0.0,25,packet,25,Netflix
13,19034.0,14622.44429,11734.0,30714.0,48234.0,11680.0,0.00242,0.00175,0.00165,0.72402,12.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00208,0.00144,0.00158,0.69134,0.99739,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
12,145.25,302.64201,54.0,54.0,1149.0,0.0,0.00523,0.00471,0.00358,0.89946,13.0,19159.15385,16073.51415,16114.0,29254.0,56994.0,16060.0,0.00463,0.00694,0.00197,1.50055,0.00695,0.48,0.0,1.0,0.0,0.0,0.12,0.0,0.4,1,0.0,0.0,25,packet,25,Netflix
13,27120.15385,15989.55502,26334.0,32174.0,56994.0,26280.0,0.00317,0.00175,0.00317,0.5535,12.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00345,0.00191,0.00372,0.5549,0.99817,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
13,15440.15385,9333.03276,8814.0,23414.0,32174.0,8760.0,0.00167,0.00083,0.0013,0.49669,12.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00171,0.00087,0.00133,0.50906,0.99678,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
12,54.0,0.0,54.0,54.0,54.0,0.0,0.00254,0.00347,0.00153,1.36687,13.0,20157.07692,19689.43152,13194.0,27794.0,64294.0,13140.0,0.00219,0.00333,0.00119,1.52129,0.00247,0.48,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
12,145.41667,303.19478,54.0,54.0,1151.0,0.0,0.00496,0.00525,0.00264,1.05877,13.0,14275.07692,11921.77314,13194.0,16114.0,40934.0,13140.0,0.00371,0.00688,0.00147,1.85175,0.00932,0.48,0.0,1.0,0.0,0.0,0.12,0.0,0.4,1,0.0,0.0,25,packet,25,Netflix
13,19034.0,11119.02873,16114.0,23414.0,39474.0,16060.0,0.00183,0.00127,0.00186,0.69131,12.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00196,0.00124,0.00196,0.6321,0.99739,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
